epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1497.55,1.0726,1.14885,1.44384,0.84323,0.91667,0.88852,0.5327,1.47621,0.91591,2.00318,0.008416,0.008416,0.008416
18,1576.95,1.06554,1.12705,1.45073,0.84737,0.91667,0.87109,0.53551,1.46287,0.85117,2.12798,0.008317,0.008317,0.008317
19,1656.07,1.05718,1.10651,1.44811,0.94609,0.90319,0.97833,0.67775,1.21794,0.839,1.68143,0.008218,0.008218,0.008218
20,1736.05,1.0535,1.09693,1.43508,0.92424,1,0.995,0.50707,1.55022,0.91674,1.93021,0.008119,0.008119,0.008119
21,1815.53,1.03093,1.07392,1.43105,0.96006,1,0.995,0.52036,1.37952,0.82932,1.83651,0.00802,0.00802,0.00802
22,1895.29,1.01873,1.06517,1.42026,0.84137,0.96438,0.92867,0.57623,1.19098,0.90728,1.66948,0.007921,0.007921,0.007921
23,1975.6,1.02797,1.04923,1.41845,0.75738,0.91667,0.85184,0.40127,1.49098,0.91718,2.24585,0.007822,0.007822,0.007822
24,2055.11,1.02172,1.05363,1.4154,0.90696,1,0.995,0.57124,1.25491,0.94962,1.99284,0.007723,0.007723,0.007723
25,2137.26,1.01372,1.03452,1.41883,0.86456,0.91667,0.9198,0.51686,1.65571,0.80392,2.25474,0.007624,0.007624,0.007624
26,2217.76,1.01068,1.03167,1.40753,0.97461,1,0.995,0.60061,1.31841,0.86003,1.74725,0.007525,0.007525,0.007525
27,2297.58,0.99449,1.01308,1.3923,0.93563,0.94253,0.995,0.68952,1.17662,0.86557,1.7467,0.007426,0.007426,0.007426
28,2389.6,0.96884,0.98933,1.37475,0.81608,0.91667,0.85577,0.50554,1.37094,0.74676,1.94152,0.007327,0.007327,0.007327
29,2468.41,1.00575,1.00699,1.39462,0.97451,1,0.995,0.56329,1.34678,0.71874,1.85846,0.007228,0.007228,0.007228
30,2549.72,0.97874,1.0177,1.38267,0.92804,1,0.995,0.60079,1.28241,0.78823,1.79424,0.007129,0.007129,0.007129
31,2635,0.96741,0.98897,1.38133,0.98081,1,0.995,0.61228,1.23999,0.71604,1.69505,0.00703,0.00703,0.00703
32,2726.86,0.97262,0.96491,1.38435,0.97416,0.98221,0.995,0.63797,1.18028,0.71748,1.73242,0.006931,0.006931,0.006931
33,2818.17,0.9639,0.9663,1.3665,0.96422,1,0.995,0.67561,1.07743,0.71792,1.51713,0.006832,0.006832,0.006832
