epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,6289.21,0.88557,0.83962,1.30405,0.95898,0.99318,0.995,0.7235,1.00177,0.48548,1.58802,0.005743,0.005743,0.005743
45,6424.77,0.8874,0.83691,1.30575,0.9516,0.98799,0.995,0.70627,1.07447,0.5062,1.72316,0.005644,0.005644,0.005644
46,6560.31,0.8786,0.82216,1.30394,0.96284,0.98075,0.995,0.73635,0.96269,0.47779,1.54827,0.005545,0.005545,0.005545
47,6695.71,0.86972,0.80123,1.29668,0.96402,0.99735,0.995,0.75483,0.92051,0.4419,1.4854,0.005446,0.005446,0.005446
48,6831.55,0.8791,0.8112,1.30483,0.97013,0.97894,0.995,0.76216,0.94724,0.44173,1.60863,0.005347,0.005347,0.005347
49,6968.23,0.86093,0.81782,1.28734,0.97494,0.94276,0.995,0.70093,0.91421,0.48377,1.54405,0.005248,0.005248,0.005248
50,7104.39,0.8626,0.80578,1.28937,0.96831,0.97828,0.995,0.73174,0.88519,0.4258,1.51616,0.005149,0.005149,0.005149
51,7240.88,0.84119,0.77552,1.28277,0.96625,0.97543,0.995,0.77232,0.91333,0.4283,1.53617,0.00505,0.00505,0.00505
52,7377.66,0.8527,0.78234,1.28368,0.96122,0.99361,0.995,0.75552,0.92721,0.46208,1.54061,0.004951,0.004951,0.004951
53,7514.14,0.83627,0.75563,1.26949,0.97115,1,0.995,0.71814,0.96313,0.45385,1.59553,0.004852,0.004852,0.004852
54,7650.16,0.84112,0.75371,1.26891,0.97191,1,0.995,0.76992,0.87462,0.41265,1.45332,0.004753,0.004753,0.004753
55,7786.56,0.84122,0.75157,1.26976,0.96997,0.97584,0.995,0.7517,0.95579,0.46936,1.59274,0.004654,0.004654,0.004654
56,7923.03,0.83575,0.7621,1.27236,0.96148,0.98193,0.995,0.719,0.94047,0.46628,1.63799,0.004555,0.004555,0.004555
57,8059.34,0.81876,0.73214,1.26531,0.94143,0.96599,0.995,0.68955,1.01122,0.47951,1.65789,0.004456,0.004456,0.004456
58,8196.02,0.81575,0.72648,1.25907,0.97977,0.99059,0.995,0.71853,0.95238,0.44156,1.55675,0.004357,0.004357,0.004357
59,8333.08,0.81062,0.72117,1.25771,0.97929,1,0.995,0.73851,0.91979,0.41885,1.55521,0.004258,0.004258,0.004258
60,8469.88,0.81119,0.72661,1.2587,0.96933,0.99575,0.995,0.75966,0.96924,0.4285,1.49462,0.004159,0.004159,0.004159
61,8606.65,0.80338,0.70303,1.24751,0.9688,0.98987,0.995,0.75486,0.93199,0.42515,1.61691,0.00406,0.00406,0.00406
62,8743.64,0.80298,0.71015,1.24448,0.97522,0.97477,0.995,0.78747,0.86584,0.40846,1.48383,0.003961,0.003961,0.003961
63,8880.61,0.79533,0.69828,1.24351,0.97292,0.98167,0.995,0.77994,0.89761,0.38105,1.57093,0.003862,0.003862,0.003862
64,9016.97,0.80138,0.70402,1.24679,0.97347,0.98065,0.995,0.74807,0.91483,0.41199,1.55712,0.003763,0.003763,0.003763
65,9154.31,0.78497,0.69657,1.23549,0.94824,0.93957,0.995,0.72188,0.91487,0.41898,1.57897,0.003664,0.003664,0.003664
66,9291.3,0.77968,0.68536,1.23377,0.97346,0.96429,0.98786,0.7616,0.93233,0.44092,1.5781,0.003565,0.003565,0.003565
67,9425.4,0.77639,0.67209,1.22662,0.97073,0.97202,0.995,0.76659,0.91601,0.41085,1.58933,0.003466,0.003466,0.003466
68,9559.09,0.76736,0.67459,1.22437,0.96679,0.98867,0.995,0.7364,0.957,0.43118,1.59873,0.003367,0.003367,0.003367
69,9693.15,0.7661,0.66806,1.22241,0.97426,0.98251,0.995,0.73276,0.96712,0.43171,1.63287,0.003268,0.003268,0.003268
70,9826.76,0.76607,0.65942,1.22098,0.9754,0.96986,0.995,0.72314,0.9616,0.45643,1.62779,0.003169,0.003169,0.003169
71,11095.6,0.75956,0.65053,1.21598,0.97724,0.9729,0.995,0.76633,0.8605,0.41059,1.50159,0.00307,0.00307,0.00307
72,11228.9,0.76168,0.64479,1.21534,0.97521,0.9824,0.995,0.77094,0.86684,0.40517,1.53451,0.002971,0.002971,0.002971
73,11427.3,0.73889,0.64094,1.20462,0.97054,0.99164,0.995,0.75741,0.80367,0.36827,1.46017,0.002872,0.002872,0.002872
74,11581.6,0.74063,0.63375,1.19991,0.96298,0.98551,0.995,0.72689,0.91387,0.41767,1.55912,0.002773,0.002773,0.002773
75,11736.2,0.74039,0.63105,1.19999,0.97603,0.98385,0.995,0.7753,0.88681,0.37257,1.55569,0.002674,0.002674,0.002674
76,11890.5,0.73916,0.63359,1.20632,0.9781,0.97921,0.995,0.77451,0.84438,0.38514,1.4738,0.002575,0.002575,0.002575
77,12044.2,0.73725,0.63124,1.20321,0.97378,0.97575,0.995,0.72856,0.92895,0.40813,1.61852,0.002476,0.002476,0.002476
