h0,h1,h2,h3,h4,h5,h6,label
0.1592673398984358,1.8913395540005876e-05,3.883649822552755e-07,9.749029462689036e-11,-2.5575985984874145e-19,-1.3955020751612858e-13,-5.4262246163505055e-19,Circulo
0.15920546462692842,9.91948748496315e-06,1.6406360713479244e-07,1.871306439912187e-11,-6.668493252272127e-21,1.3065201447148605e-14,3.210337318271843e-20,Circulo
0.1594499763494016,5.0828537299959673e-05,2.408257002382216e-06,1.0683921715506431e-09,1.457485277738905e-17,2.1046647248328784e-12,5.2196864322117914e-17,Circulo
0.16648456872051687,6.77723433422533e-05,8.002476565526968e-06,1.0750859937643092e-07,6.408903954821163e-14,7.589572249874977e-10,7.63965483883049e-14,Cuadrado
0.16697044842997733,8.829280210065075e-05,2.1019857679254468e-05,2.3022663948860852e-07,-2.981756369709967e-13,1.5900641732653713e-09,-4.0938573349945653e-13,Cuadrado
0.16418527513289072,0.00010491242882990204,1.580693308398766e-05,7.858469436248852e-08,7.600760681543499e-14,3.234857364035021e-11,4.352025007230052e-14,Cuadrado
0.19115468466439572,0.002912063232375565,0.003191701050021125,6.417986200622453e-05,2.8317724309162953e-08,3.4328642522609693e-06,6.470373487489101e-09,Triangulo
0.20252479425568792,0.004209784415916544,0.004872411996488161,0.0001742754087995951,1.6049161803340663e-07,1.1301348778288003e-05,5.700829325583266e-09,Triangulo
0.19675403505800387,0.00469695507250396,0.003507835538226915,0.00013122954947222758,8.406035174509478e-08,8.431386749502886e-06,2.934823137879769e-08,Triangulo
0.15949114665288203,9.112344188692496e-05,4.509025291864491e-07,3.3945551530174857e-10,-1.4732995835569528e-18,-1.786205802783583e-12,3.932766827184464e-18,Circulo
0.15917741198050775,1.3488392605064791e-06,7.500534971080084e-08,1.5372144254881858e-12,2.525765320061039e-22,-1.2578611965391207e-15,-4.567938318402271e-22,Circulo
0.15964488819585732,0.00010003489581605855,2.4388058260027973e-06,2.879881705910206e-09,8.13808203965309e-17,1.1034997492783081e-11,-2.272176600956422e-16,Circulo
0.826627026951331,0.6497331688348428,0.0309141688828059,0.02457416632275243,0.0006770928084899455,0.01954905685357717,-1.772607347061639e-05,Desconocido
0.4436582473576731,0.14173307018763587,0.01593048159730834,0.0022705151143282147,-2.626984914188928e-06,-0.0003550092888585575,-1.3400223838189273e-05,Desconocido
0.5108675293045812,0.15420611185047203,0.02712546298479901,0.003442827330689514,-3.054743379226684e-05,-0.0011889046361411163,-1.3182990579716295e-05,Desconocido
0.20201978165123002,0.004262282259002714,0.0024382201419012517,3.6845884910869005e-05,-1.043777823390661e-08,-1.948638791352503e-06,3.608198517358902e-09,Desconocido
0.21258925609592294,0.008986748018831595,0.004132206415312103,0.0003011147982462536,2.2763619187489042e-07,1.0582570179345798e-05,2.469812555552087e-07,Desconocido
0.15981708233846204,9.430479896300602e-05,1.7349956152674285e-05,3.906695071698899e-08,2.2698267430104374e-14,2.0828145879817897e-10,2.2787719351340314e-14,Circulo
0.22412317714062946,0.002325078400088776,0.00011973503979229475,0.0007057162921134096,2.9281223853688916e-08,2.3030737691345944e-05,-2.0304210054606318e-07,Desconocido
0.1598053107042114,0.00010000430478778533,2.0832109106251397e-05,4.223251467857988e-08,1.1020356835400716e-14,8.076069989944359e-11,3.8049131931354483e-14,Circulo
0.22288752179561833,0.0022203154541785984,0.00013012717674171036,0.0006935790456799807,1.7067785228898616e-08,2.2026291188390697e-05,-2.076663177996184e-07,Desconocido
0.16595436324447344,3.0485240235062666e-06,1.2144141800545506e-05,4.929764508549054e-07,-8.204935479915248e-13,-8.271785970637354e-10,8.841556609395156e-13,Cuadrado
0.3850161044249587,0.12022560662860092,0.0009147939197715398,0.0005066111455726332,3.448622574769869e-07,0.0001756592811633638,3.921630659325637e-09,Desconocido
0.2749856573852334,0.04351336415323349,0.0003015486966679164,9.305419393719555e-05,1.0623131899292867e-08,1.4597972392408342e-05,-1.140728493358018e-08,Desconocido
0.17971330222488793,0.004003618545699899,0.00024007150418163672,9.730012908088152e-06,-1.7591986931502292e-10,-1.1989561990181517e-07,-4.3611822148572254e-10,Circulo
3.3295685306017733,7.482168043595662,7.137608704520876,2.2466321344304405,4.709474496171356,1.8906709336450114,7.665385541361982,Desconocido
0.17863633284727928,0.003111284877056417,2.355533472755961e-05,4.125585544633383e-06,4.026366194030441e-11,1.3292827919134675e-07,5.7339135006846985e-12,Circulo
0.16610662761638786,1.4097075388844528e-06,1.4997951066731089e-05,5.780189131951877e-07,-1.2220248429277395e-12,4.2376589129918323e-10,1.1845050529235585e-12,Cuadrado
0.37855473520820343,0.1153769699764235,0.0009017003389372631,0.0004916609509136186,3.272437760169835e-07,0.00016685286608103785,8.837081138495794e-09,Desconocido
0.2792907144150836,0.04562152068077599,0.0003367810415475324,0.00010012085683522247,1.197022488532508e-08,1.517208653016798e-05,-1.395411418926826e-08,Desconocido
0.18039596474630068,0.004235199369133382,0.00026912063016772624,9.396277902002918e-06,-2.4097162572895834e-10,-1.6601430933642402e-07,-4.0644131351564534e-10,Desconocido
3.5567636327446843,7.535375707807087,9.784296109351207,3.0165235600910325,7.225071602049648,2.2027329049478346,14.709301473907836,Desconocido
0.17821261274964878,0.00293642196659111,3.3314037573650564e-05,4.376395995883478e-06,5.202152317707567e-11,1.2124776860082133e-07,9.282120961298892e-12,Circulo
0.9311302586968235,0.8106845841664637,0.013865428005462501,0.0017371545006356782,-5.903614090652468e-06,-0.0013274560160586111,6.150852013143595e-06,Desconocido
